l.p.|ulica|kod pocztowy|miasto|nazwa|aktywna|nr_jednostki|rodzaj jedostki
1|ul. Ceramiczna 29|64-920|Piła|Baza Magazynowa KWP|1|32|1
2|ul. Jana Kochanowskiego 3|60-844|Poznań|Budynek KWP|1|32|1
3|ul. Wioślarska 70|61-136|Poznań|Komisariat Wodny|1|32|4
4|ul. Kochanowskiego 2A|60-844|Poznań|KWP Poznań|1|32|1
5|ul. Garncarska 11|62-800|Kalisz|Magazyny|1|32|1
6|ul. Jana Kassyusza 14/2|60-549|Poznań|Mieszkanie służbowe|1|32|1
7|ul. Taborowa 22|60-790|Poznań|Oddział Prewencji Policji|1|32|1
8|ul. Dąbrowskiego 17a|60-838|Poznań|Pomieszczenia magazynowe KWP|1|32|1
9|ul. Dąbrowskiego 17a|60-838|Poznań|Sekcja ds. Zamówień Publicznych KWP|1|32|1
10|ul. Bukowska 286|60-189|Poznań|Sekcja lotnictwa|1|32|1
11|ul. Dąborwksiego|60-838|Poznań|Wydz. Inwestycji i Remontów KWP|1|32|1
12|ul. Dąbrowskiego 17a|60-838|Poznań|Wydz. Kadr i Szkolenia KWP|1|32|1
13|ul. Podolańska 52|60-626|Poznań|Wydz. Transportu KWP|1|32|1
14|ul.Wiosna Ludów 14|64-800|Chodzież|Komenda Powiatowa Policji|1|1|3
15|ul. Kościelna 14|64-830|Margonin|Komisariat Policji|1|1|4
16|ul. Dworcowa 28|64-840|Budzyń|Zespół Dzielnicowych|1|1|8
17|ul. Marcinkowskiego 49|64-820|Szamocin|Zespół Dzielnicowych|1|1|8
18|ul. Kościuszki 89|64-700|Czarnków|Komenda Powiatowa Policji|1|2|3
19|ul. Sikorskiego 10|64-761|Krzyż Wielkopolski|Komisariat Policji|1|2|4
20|ul. Roosevelta 10|64-980|Trzcianka|Komisariat Policji|1|2|4
21|ul. Jana Pawła Ii Nr 16|64-730|Wieleń|Komisariat Policji|1|2|4
22|ul. Chrobrego 37|64-720|Lubasz|Posterunek Policji|1|2|5
23|ul. Jana Pawła Ii Nr 2|62-200|Gniezno|Komenda Powiatowa Policji|1|3|3
24|Pl. Kpt. Pawła Cymsa 3|62-250|Czerniejewo|Komisariat Policji|1|3|4
25|ul. Armii Poznań 3|62-270|Kłecko|Komisariat Policji|1|3|4
26|ul. 22 Stycznia 4A|62-240|Trzemeszno|Komisariat Policji|1|3|4
27|ul. Kosynierów Miłosławskich 14|62-230|Witkowo|Komisariat Policji|1|3|4
28|ul. Wrocławska 44|63-800|Gostyń|Komenda Powiatowa Policji|1|4|3
29|ul. Lisia Droga 1|63-810|Borek Wielkopolski|Posterunek Policji|1|4|5
30|ul. Powstańców Wielkopolskich 32|63-840|Krobia|Posterunek Policji|1|4|5
31|ul. Polna 1|64-125|Poniec|Posterunek Policji|1|4|5
32|ul. St. Nadstawek 1C|63-830|Pępowo|Punkt Przyjęć Dzielnicowych|1|4|7
33|ul. Rolna 1|63-860|Pogorzela|Punkt Przyjęć Dzielnicowych|1|4|7
34|ul. Drzymały 13|62-065|Grodzisk Wielkopolski|Komenda Powiatowa Policji|1|5|3
35|ul. Grodziska 16|62-067|Rakoniewice|Komisariat Policji|1|5|4
36|ul. Lipowa 4|64-050|Wielichowo|Rewir Dzielnicowych|1|5|6
37|Granowo, Poznańska 3|62-066|Granowo|Rewir Dzielnicowych|1|5|6
38|ul. Bohaterów Jarocina 15|63-200|Jarocin|Komenda Powiatowa Policji|1|6|3
39|ul. Mickiewicza 6|63-210|Żerków|Zespół Dzielnicowych|1|6|8
40|ul. Poznańska 22|63-220|Kotlin|Zespół Dzielnicowych|1|6|8
41|ul. Rynek 3|63-233|Jaraczewo|Zespół Dzielnicowych|1|6|8
42|ul. Kordeckiego 36|62-800|Kalisz|Komenda Miejska Policji|1|7|2
43|Pl.Wolności 15|62-840|Koźminek|Komisariat Policji|1|7|4
44|ul. Zamkowa 5|62-820|Stawiszyn|Komisariat Policji|1|7|4
45|ul. Poniatowskiego 1|62-860|Opatówek|Komisariat Policji|1|7|4
46|ul. Ks. Blizińskiego 43|62-850|Lisków|Posterunek Policji|1|7|5
47|Janków 101A|62-814|Blizanów|Posterunek Policji|1|7|5
48|ul. Kordeckiego 6|62-872|Godziesze Wielkie|Posterunek Policji|1|7|5
49|ul. 1000-Lecia 8|62-874|Zp Brzeziny|Posterunek Policji|1|7|5
50|Chojęcin Szum 8A|63-600|Kępno|Komenda Powiatowa Policji|1|8|3
51|ul. Kępińska 10|63-620|Trzcinica Z/S W Laskach|Posterunek Policji|1|8|5
52|ul. Poznańska 7|63-645|Łęka Opatowska|Posterunek Policji|1|8|5
53|ul. Namysłowska 12|63-640|Bralin|Posterunek Policji|1|8|5
54|ul. Ogrodowa 2|63-604|Baranów|Punkt Przyjęć Dzielnicowych|1|8|7
55|Perzów 78|63-642|Perzów|Punkt Przyjęć Dzielnicowych|1|8|7
56|ul. Sienkiewicza 14|62-600|Koło|Komenda Powiatowa Policji|1|9|3
57|ul. Tuwima 15|62-650|Kłodawa|Komisariat Policji|1|9|4
58|ul. Poznańska 5A|62-620|Babiak|Posterunek Policji|1|9|5
59|ul. Łęczycka 62|62-660|Dąbie|Posterunek Policji|1|9|5
60|ul. Kolska 5|62-640|Grzegorzew|Zespół Dzielnicowych|1|9|8
61|ul. Turecka 7/3|62-604|Kościelec|Zespół Dzielnicowych|1|9|8
62|ul. Główna 1|62-613|Osiek Mały|Zespół Dzielnicowych|1|9|8
63|ul. Przemysłowa 2|62-510|Konin|Komenda Miejska Policji|1|10|2
64|ul. Kolejowa 11A|62-590|Golina|Komisariat Policji|1|10|4
65|ul. Topolowa 1|62-571|Stare Miasto K/Konina|Komisariat Policji|1|10|4
66|Pl. Kościuszki 7/2|62-540|Kleczew|Komisariat Policji|1|10|4
67|ul. Sportowa 1A|62-570|Rychwał|Komisariat Policji|1|10|4
68|ul. 11 Listopada 17|62-610|Sompolno|Komisariat Policji|1|10|4
69|ul. Polna 1|62-561|Ślesin|Komisariat Policji|1|10|4
70|ul. 1 Maja 3|62-530|Kazimierz Biskupi|Posterunek Policji|1|10|5
71|ul. Surzyńskiego 31|64-000|Kościan|Komenda Powiatowa Policji|1|11|3
72|ul. Kolejowa 7|64-020|Czempiń|Posterunek Policji|1|11|5
73|ul. Gen. D. Chłapowskiego 34|64-010|Krzywiń|Posterunek Policji|1|11|5
74|ul. Dworcowa 2|64-030|Śmigiel|Posterunek Policji|1|11|5
75|ul. Zdunowska 38A|63-700|Krotoszyn|Komenda Powiatowa Policji|1|12|3
76|ul. Stęszewskiego 1|63-720|Koźmin Wielkopolski|Komisariat Policji|1|12|4
77|ul. Grunwaldzka 4|63-740|Kobylin|Posterunek Policji|1|12|5
78|ul. Sienkiewicza 9|63-760|Zduny|Posterunek Policji|1|12|5
79|ul. 17 Stycznia 8|64-100|Leszno|Komenda Miejska Policji|1|13|2
80|ul. Korcza 3|64-100|Leszno|Komenda Miejska Policji|1|13|2
81|ul. Dworcowa 16|64-140|Boszkowo|Posterunek Sezonowy|1|13|5
82|ul. Spółdzielcza 20|64-120|Krzemieniewo|Rewir Dzielnicowych|1|13|6
83|ul. Leszczyńska 5|64-111|Lipno|Rewir Dzielnicowych|1|13|6
84|ul. Leszczyńska 5B|64-113|Osieczna|Rewir Dzielnicowych|1|13|6
85|ul. Rzeczypospolitej 6A|64-130|Rydzyna|Rewir Dzielnicowych|1|13|6
86|ul. Zalesie 9A|64-140|Włoszakowice|Rewir Dzielnicowych|1|13|6
